id	Title	Author Last Name	Author First Name	Author Website	Publisher	Publication Year	Media	Weight	Height	Thickness	Length	Page Count	Languages	LC Classification	ISBN	Dewey Decimal	Dewey Wording
872	The Left Hand of Darkness	Le Guin	Ursula K.	https://www.ursulakleguin.com/	HarperCollins	1980	Hardcover	0.7 pounds	8.4 inches	0.9 inches	5.6 inches	213	English	PS3562.E42	0060125748	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
99	Prelude to Foundation	Asimov	Isaac	\N	HarperCollins	1994	Paperback	0.53 pounds	6.93 inches	1.02 inches	4.41 inches	464	English	PS3551.S5 P7	0586071113	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
1347	Return of the Thief	Turner	Megan Whalen	http://meganwhalenturner.org/	HarperCollins Canada	2020	Hardcover	1.7 pounds	9 inches	1.58 inches	6 inches	\N	English	PZ7.T85565 R	0062874470	813.6	21st Century > American fiction > English (North America) > Literature
16	The History of Akbar, Volume 2	Abu'l-Fazl	\N	\N	Harvard University Press	2016	Hardcover	\N	8.2 inches	1.3 inches	5.5 inches	592	English	DS461.3 .A2313	0674504941	\N	\N
229	Komarr	Bujold	Lois McMaster	http://www.dendarii.com/	Easton Press	1998	Hardcover	\N	\N	\N	\N	\N	\N	PS3552.U397 K66	\N	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
1219	FirstBorn & Defending Elysium	Sanderson	Brandon	https://www.brandonsanderson.com/	Dragonsteel Entertainment	2013	Hardcover	\N	\N	\N	\N	160	English	\N	1938570006	\N	\N
1	Flatland: A Romance of Many Dimensions	Abbott	Edwin A.	\N	Dover Publications	1992	Paperback	\N	8.28 inches	0.26 inches	5.27 inches	96	\N	QA699 .A13	048627263X	530.11	Natural sciences and mathematics > Physics > Physics > Relativity > Theoretical Physics
2	The Qur'an	Abdel Haleem	M.A.S.	\N	Oxford University Press	2010	Hardcover	2.5 pounds	9.5 inches	6.6 inches	1.8 inches	672	English	BP109	019957071X	297.122521	Islam, Babism, Bahai Faith > Koran > Other Religions > Religions > Sacred Books and Scriptures > Textual Sources > Translations
3	Before They Are Hanged	Abercrombie	Joe	https://joeabercrombie.com/	Pyr	2008	Paperback	1.57 pounds	9 inches	1.18 inches	6.6 inches	543	English	PR6101.B49 B45	1591026415	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period
4	Best Served Cold	Abercrombie	Joe	https://joeabercrombie.com/	Orbit	2010	Paperback	0.93 pounds	4.25 inches	6.73 inches	1.5 inches	899	English	PR6101.B49 B47	0316044954	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period
5	Half a King	Abercrombie	Joe	https://joeabercrombie.com/	Harper Voyager	2014	Hardcover	0.6 pounds	6.38 inches	9.06 inches	1.38 inches	384	English	PR6101.B49 H34	0007550200	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period
6	Last Argument of Kings	Abercrombie	Joe	https://joeabercrombie.com/	Pyr	2008	Paperback	1.84 pounds	8.98 inches	1.36 inches	5.98 inches	639	English	PR6101.B49 L37	1591026903	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period
7	Red Country	Abercrombie	Joe	https://joeabercrombie.com/	Orbit	2013	Paperback	1.14 pounds	\N	\N	\N	480	English	PR6101.B49 R43	0316187208	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period
8	The Blade Itself	Abercrombie	Joe	https://joeabercrombie.com/	Pyr	2007	Paperback	1.54 pounds	8.96 inches	1.08 inches	6.08 inches	531	English	PR6101.B49 B57	159102594X	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period
9	The Heroes	Abercrombie	Joe	https://joeabercrombie.com/	Orbit	2011	Hardcover	1.75 pounds	6.25 inches	9.5 inches	1.75 inches	560	English	PR6101.B49 H47	0316044989	823.92	2000- > English fiction > English {except North American} > Literature > Modern Period
10	A Shadow in Summer	Abraham	Daniel	https://www.danielabraham.com/	Tor Books	2006	Hardcover	1.3 pounds	9.4 inches	1.2 inches	6.3 inches	336	English	PS3601.B677 S53	0765313405	813.6	21st Century > American fiction > English (North America) > Literature
11	The Dragon's Path	Abraham	Daniel	https://www.danielabraham.com/	Orbit	2011	Paperback	1.48 pounds	9.22 inches	1.67 inches	5.98 inches	592	English	PS3601.B677 D73	9780316080682	813.6	21st Century > American fiction > English (North America) > Literature
12	The King's Blood	Abraham	Daniel	https://www.danielabraham.com/	Orbit	2012	Paperback	1.25 pounds	9.16 inches	1.54 inches	6.01 inches	528	English	PS3601.B677 K56	9780316080774	813.6	21st Century > American fiction > English (North America) > Literature
13	The Tyrant's Law	Abraham	Daniel	https://www.danielabraham.com/	Orbit	2013	Paperback	1.2 pounds	9.1 inches	1.5 inches	6 inches	528	English	PS3601.B677 T97	0316080705	813.6	21st Century > American fiction > English (North America) > Literature
14	The Widow's House	Abraham	Daniel	https://www.danielabraham.com/	Orbit	2014	Paperback	\N	\N	\N	\N	544	English	PS3601.B677 W53	031620398X	813.6	21st Century > American fiction > English (North America) > Literature
15	The History of Akbar, Volume 1	Abu'l-Fazl	\N	\N	Harvard University Press	2015	Hardcover	\N	8.23 inches	1.44 inches	5.51 inches	656	English	DS461 .A2313	0674427750	954.02	647-1875 > Asia > History and Geography > India and South Asia
17	The History of Akbar, Volume 3	Abu'l-Fazl	\N	\N	Harvard University Press	2017	Hardcover	\N	1.75 inches	8.5 inches	5.5 inches	704	English	\N	0674659821	\N	\N
18	The History of Akbar, Volume 4	Abu'l-Fazl	\N	\N	Harvard University Press	2018	Hardcover	\N	5.59 inches	8.27 inches	1.44 inches	656	English	\N	0674975030	\N	\N
19	The History of Akbar, Volume 5	Abu'l-Fazl	\N	\N	Harvard University Press	2019	Hardcover	\N	5.25 inches	8 inches	\N	784	English	\N	0674983955	\N	\N
20	The History of Akbar, Volume 6	Abu'l-Fazl	\N	\N	Harvard University Press	2020	Hardcover	\N	5.25 inches	8 inches	\N	688	English	DS461.3 .A2313	067498613X	\N	\N
21	The History of Akbar, Volume 7	Abu'l-Fazl	\N	\N	Harvard University Press	2021	Hardcover	\N	7.99211 inches	0.59055 inches	5.23621 inches	\N	English	\N	0674244168	\N	\N
22	The History of Akbar, Volume 8	Abu'l-Fazl	\N	\N	Harvard University Press	2022	Hardcover	1.04940036712 pounds	\N	\N	\N	672	English	\N	0674244176	\N	\N
23	Things Fall Apart	Achebe	Chinua	\N	Fawcett	1985	Paperback	0.2 pounds	6.9 inches	0.5 inches	4.1 inches	190	English	PR9387.A3	0449208109	823	English fiction > English {except North American} > Literature
24	The Zookeeper's Wife: A War Story	Ackerman	Diane	http://www.dianeackerman.com/	W. W. Norton & Company	2007	Hardcover	1.2 pounds	5.9 inches	8.6 inches	1.2 inches	368	English	D804.Z33 A25	9780393061727	940.5318350943840	1918- > Europe > Europe > History and Geography > Holocaust > Social, political, economic history; Holocaust > World War II
25	Dirk Gently's Holistic Detective Agency	Adams	Douglas	https://www.douglasadams.com/	Tor Books	1988	Paperback	0.26 pounds	6.85 inches	0.71 inches	4.33 inches	256	English	PR6051.D3352	0330301624	813	American fiction > English (North America) > Literature
53	The El Dorado Adventure	Alexander	Lloyd	\N	Dutton Juvenile	1987	Hardcover	0.9 pounds	8.4 inches	0.9 inches	5.7 inches	176	English	PZ7.A3774 E	0525443134	303	Social Processes > Social Sciences > Social sciences
26	Last Chance to See	Adams	Douglas	https://www.douglasadams.com/	Ballantine Books	1992	Paperback	0.7 pounds	8.1 inches	0.6 inches	5.1 inches	256	\N	QL82 .A33	0345371984	591.529	Abode; Migration > Habits and behavior > Natural sciences and mathematics > Specific topics in natural history of animals > Zoology
27	The Long Dark Tea-Time Of The Soul	Adams	Douglas	https://www.douglasadams.com/	Pan Books	1988	Paperback	0.3 pounds	6.97 inches	0.87 inches	4.37 inches	256	English	PR6051.D3352	0330309552	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period
28	The Salmon of Doubt	Adams	Douglas	https://www.douglasadams.com/	Random House	2003	Paperback	0.37 pounds	6.85 inches	0.98 inches	4.17 inches	\N	English	PR6051.D3352 S25	0345459350	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period
29	Epic: Legends of Fantasy	Adams	John Joseph	https://www.johnjosephadams.com/	Tachyon Publications	2012	Paperback	\N	6 inches	8.9 inches	1.7 inches	608	English	PR830.F3 E653	1616960841	813.0876608	Adventure fiction > American fiction > By type > Collections > English (North America) > Fantasy > Genre fiction > Literature > Speculative fiction
30	Tales from Watership Down	Adams	Richard	\N	Alfred A. Knopf	1996	Hardcover	1.23 pounds	9.49 inches	6.3 inches	0.83 inches	192	English	PR6051.D345 T3	0091801664	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period
31	Watership Down	Adams	Richard	\N	Scribner	1996	Hardcover	1.59 pounds	6.12 inches	9.25 inches	1.3 inches	448	English	PZ10.A197	068483605X	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period
32	The Angel of the Crows	Addison	Katherine	https://www.katherineaddison.com/	Tor Books	2020	Hardcover	\N	8.6 inches	1.37 inches	5.88 inches	448	English	PS3601.D4655	0765387395	813.6	21st Century > American fiction > English (North America) > Literature
33	The Goblin Emperor	Addison	Katherine	https://www.katherineaddison.com/	Tor Books	2014	Hardcover	1.13 pounds	7.43 inches	8.48 inches	1.48 inches	448	English	PS3601.D4655	076532699X	813.6	21st Century > American fiction > English (North America) > Literature
34	The Grief of Stones	Addison	Katherine	https://www.katherineaddison.com/	Tor Books	2022	Hardcover	0.7 pounds	8.5499829 inches	1.0499979 inches	5.6999886 inches	245	English	PS3601.D4655 G75	1250813891	813.6	21st Century > American fiction > English (North America) > Literature
35	The Witness for the Dead	Addison	Katherine	https://www.katherineaddison.com/	Tor Books	2021	Hardcover	\N	8.25 inches	\N	5.38 inches	\N	English	PS3601.D4655 W58	0765387425	813.6	21st Century > American fiction > English (North America) > Literature
36	How to Read a Book	Adler	Mortimer Jerome	\N	Fine Communications	1997	Hardcover	1 pound	6 inches	8.75 inches	1 inch	\N	English	PN83 .A43	1567310109	28	Books and Reading > Information > Library and Information Sciences
37	Throne of the Crescent Moon	Ahmed	Saladin	\N	DAW	2012	Hardcover	1 pound	\N	\N	\N	288	English	PS3601.H582 T48	0756407117	813.6	21st Century > American fiction > English (North America) > Literature
38	Past Eight O'Clock	Aiken	Joan	https://www.joanaiken.com/	Jonathan Cape	1986	Hardcover	1.01 pounds	9.76 inches	0.71 inches	6.69 inches	128	English	PZ7.A2695 P	0224028561	823.914	1901-1999 > 1945-1999 > English fiction > English {except North American} > Literature > Modern Period
39	Interaction of Color: 50th Anniversary Edition	Albers	Josef	https://www.albersfoundation.org/	Yale University Press	2013	Paperback	1.06262810284 pounds	9.25 inches	0.75 inches	6 inches	192	English	ND1489 .A4	0300179359	701.85	Color > Inherant features > Modified subdivisions of the arts > Philosophy and theory of fine and decorative arts > The arts
40	Left to Their Own Devices: How Digital Natives Are Reshaping the American Dream	Albright	Julie M.	\N	Prometheus Books	2019	Hardcover	\N	6 inches	9 inches	\N	304	English	HQ799.M352 .A437	1633884449	302.23	Communication > Media (Means of communication) > Social Interaction > Social Sciences > Social sciences
41	Little Women	Alcott	Louisa May	\N	Signet Classics	2004	Paperback	0.45 pounds	6.8 inches	1.1 inches	4.1 inches	464	English	PS1017 .L5	0451529308	813.4	American fiction > English (North America) > Later 19th Century 1861-1900 > Literature
42	A Pattern Language: Towns, Buildings, Construction	Alexander	Christopher	\N	Oxford University Press	1977	Hardcover	2.13 pounds	5.7 inches	7.9 inches	2 inches	1216	English	NA2500.A445	0195019199	720.1	Architecture > Architecture - modified standard subdivisions > The arts > Theory And Instruction
43	Dream-of-Jade: The Emperor's Cat	Alexander	Lloyd	\N	Cricket Books	2005	Hardcover	0.84216584084 pounds	10.5 inches	0.5 inches	8.5 inches	48	English	PZ7.A3774 D	0812627369	519	Applied Mathematics, Probabilities > Mathematics > Natural sciences and mathematics
44	Gypsy Rizka	Alexander	Lloyd	\N	Dutton Juvenile	1999	Hardcover	1 pound	8.76 inches	0.9 inches	5.84 inches	144	English	PZ7.A3774 G	0525461213	808.8	Anthologies & Collections > By Topic > Literature > Rhetoric and anthologies
45	Taran Wanderer	Alexander	Lloyd	\N	Yearling	1969	Paperback	0.38 pounds	5.13 inches	7.63 inches	0.66 inches	272	English	PZ7.A3774 T	0440484839	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
46	The Arkadians	Alexander	Lloyd	\N	Puffin	1998	Paperback	0.5 pounds	7.74 inches	0.76 inches	5.09 inches	288	English	PZ7.A3774 A	0140380736	818	Authors, American and American miscellany > English (North America) > Literature
47	The Beggar Queen	Alexander	Lloyd	\N	Firebird	2002	Paperback	0.35 pounds	7 inches	0.63 inches	4.24 inches	256	English	PZ7.A3774 B	0141310707	839.78	German and Germanic > Literature > Literature in other Germanic languages  > Swedish literature > Swedish miscellany
48	The Black Cauldron	Alexander	Lloyd	\N	Dell	1999	Paperback	0.35 pounds	7.4 inches	0.7 inches	5.1 inches	229	English	PZ7.A3774 B	0440406498	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
49	The Book of Three	Alexander	Lloyd	\N	Henry Holt and Co.	2006	Paperback	0.42 pounds	7.76 inches	0.59 inches	5.12 inches	190	\N	PZ7.A3774 B	0805080481	813.5	20th Century > American fiction > English (North America) > Literature
50	The Castle of Llyr	Alexander	Lloyd	\N	Yearling	1969	Paperback	0.4 pounds	\N	\N	\N	208	English	PZ7.A3774 C	0440411254	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
51	The Cat Who Wished to Be a Man	Alexander	Lloyd	\N	Puffin	2000	Paperback	0.2 pounds	7.75 inches	0.6 inches	5 inches	128	English	PZ7.A3774 C	0141307048	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
52	The Drackenberg Adventure	Alexander	Lloyd	\N	Dutton Juvenile	1988	Hardcover	1 pound	8.56 inches	0.72 inches	5.68 inches	152	English	PZ7.A3774 D	0525443894	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
54	The First Two Lives of Lukas-Kasha	Alexander	Lloyd	\N	Puffin	1998	Paperback	0.5 pounds	7.75 inches	0.75 inches	5.25 inches	224	English	PZ7.A3774 F	0141300574	813	American fiction > English (North America) > Literature
55	The Foundling	Alexander	Lloyd	\N	Yearling	1982	Paperback	0.25 pounds	5.24 inches	7.76 inches	0.35 inches	10	English	PZ7.A3774 F	0440425360	800.1988	By Topic > Literature > Literature: general works
56	The Gawgon and The Boy	Alexander	Lloyd	\N	Dutton Juvenile	2001	Hardcover	1 pound	8.5 inches	0.88 inches	5.75 inches	256	English	PZ7.A3774 G	9780525466772	813	American fiction > English (North America) > Literature
57	The Golden Dream of Carlo Chuchio	Alexander	Lloyd	\N	Henry Holt and Co.	2007	Hardcover	1 pound	8.6598252 inches	1.0598404 inches	5.61 inches	306	English	PZ7.A3774 G	0805083332	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
58	The High King	Alexander	Lloyd	\N	Bantam Doubleday Dell	1990	Paperback	0.25 pounds	7.7 inches	0.9 inches	5.4 inches	304	English	PZ7.A3774 H	0440435749	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
59	The Illyrian Adventure	Alexander	Lloyd	\N	Puffin	2000	Paperback	0.25 pounds	7.75 inches	0.42 inches	5.1 inches	144	English	PZ7.A3774 I	0141303131	219	"Natural Theology and Secularism > Religions > [Formerly ""Analogies; Correspondences""; No longer used]"
60	The Illyrian Adventure	Alexander	Lloyd	\N	Turtleback Books	1999	Hardcover	0.47 pounds	7.64 inches	0.65 inches	5.28 inches	144	English	PZ7.A3774 I	0808595865	219	"Natural Theology and Secularism > Religions > [Formerly ""Analogies; Correspondences""; No longer used]"
61	The Illyrian Adventure	Alexander	Lloyd	\N	Yearling	1990	Paperback	0.25 pounds	7.5 inches	0.4 inches	5.1 inches	144	English	PZ7.A3774 I	0440402972	219	"Natural Theology and Secularism > Religions > [Formerly ""Analogies; Correspondences""; No longer used]"
62	The Iron Ring	Alexander	Lloyd	\N	Dutton Juvenile	1997	Hardcover	1 pound	8.52 inches	1.14 inches	5.86 inches	256	English	PZ7.A3774 I	0525455973	813	American fiction > English (North America) > Literature
63	The Kestrel	Alexander	Lloyd	\N	Firebird	2002	Paperback	0.34 pounds	7 inches	0.7 inches	4.3 inches	256	English	PZ7.A3774 K	0141310693	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
64	The Marvelous Misadventures of Sebastian	Alexander	Lloyd	\N	Dutton Juvenile	1970	Hardcover	\N	\N	\N	\N	\N	English	PZ7.A3774 M	0525347399	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
65	The Philadelphia Adventure	Alexander	Lloyd	\N	Dutton Juvenile	1990	Hardcover	1 pound	5.72 inches	0.69 inches	8.62 inches	150	English	PZ7.A3774 P	0525445641	\N	\N
228	Knife Children	Bujold	Lois McMaster	http://www.dendarii.com/	Subterranean Press	2020	Hardcover	\N	\N	\N	\N	\N	English	\N	1596069546	813.6	21st Century > American fiction > English (North America) > Literature
66	The Remarkable Journey of Prince Jen	Alexander	Lloyd	\N	Dutton Juvenile	1991	Hardcover	1 pound	8.56 inches	1.06 inches	5.76 inches	273	English	PZ7.A3774 R	0525448268	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
67	The Rope Trick	Alexander	Lloyd	\N	Dutton Juvenile	2002	Hardcover	0.9 pounds	8.58 inches	0.86 inches	5.76 inches	192	English	PZ7.A3774 R	0525470204	303	Social Processes > Social Sciences > Social sciences
68	The Town Cats and Other Tales	Alexander	Lloyd	\N	Puffin	1998	Paperback	0.2 pounds	7.74 inches	0.4 inches	5.14 inches	144	English	PZ8.A37 T	0141301228	813.5	20th Century > American fiction > English (North America) > Literature
69	The Wizard in the Tree	Alexander	Lloyd	\N	Dutton Juvenile	1974	Hardcover	1 pound	6.16 inches	0.64 inches	9.32 inches	137	English	PZ8.A37 W	0525431284	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
70	The Xanadu Adventure	Alexander	Lloyd	\N	Dutton Juvenile	2005	Hardcover	0.75 pounds	8.64 inches	0.74 inches	5.76 inches	160	English	PZ7.A3774 X	0525473718	791.43	Film > Film, Radio, and Television > Public performances > Recreational and performing arts > The arts
71	Time Cat: The Remarkable Journeys of Jason and Gareth	Alexander	Lloyd	\N	Henry Holt and Co.	2003	Hardcover	0.77 pounds	8.64 inches	0.81 inches	5.76 inches	224	English	PZ7.A3774 T	0805072705	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
72	Westmark	Alexander	Lloyd	\N	Firebird	2002	Paperback	0.25 pounds	7 inches	0.5 inches	4.3 inches	192	English	PZ7.A3774 W	9780141310688	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
73	Getting Things Done: The Art of Stress-Free Productivity	Allen	David	\N	Penguin Books	2002	Paperback	0.51 pounds	5.28 inches	8 inches	0.6 inches	288	English	BF637.T5 A45	0142000280	646.7	Home and family management > Management of personal and family life > Sewing, clothing, management of personal and family life > Technology and Application of Knowledge
74	Lean Customer Development: Building Products Your Customers Will Buy	Alvarez	Cindy	\N	O'Reilly Media	2017	Paperback	0.72 pounds	9 inches	0.51 inches	6 inches	240	English	HF5415.32 .A48	1492023744	658.834	Management > Management and auxiliary services > Of Marketing > Technology and Application of Knowledge
75	Hans Christian Anderson: The Complete Fairy Tales and Stories	Anderson	Hans Christian	\N	Barnes and Noble	2008	Paper Book	2.95 pounds	10.8 inches	1.2 inches	8.6 inches	972	English	PT8116 .E5	0760776075	839.8136	1800вЂ“1900 > Danish > Danish and Norwegian literature  > Danish fiction > German and Germanic > Literature > Literature in other Germanic languages
76	Figure It Out: Getting from Information to Understanding	Anderson	Stephen P.	\N	Two Waves Books	2020	Paperback	1.8 pounds	9 inches	0.88 inches	6 inches	432	English	\N	1933820969	153	Cognition And Memory > Philosophy and Psychology > Psychology
77	Seductive Interaction Design: Creating Playful, Fun, and Effective User Experiences	Anderson	Stephen P.	\N	New Riders	2011	Paperback	1.14199451716 pounds	9.25 inches	0.5 inches	8 inches	223	English	TK5105 .A5284	0321725522	6.7	Computing and Information > Information > Multimedia systems > Special Topics
78	Dark Waters	Arden	Katherine	http://katherinearden.com/	G.P. Putnam's Sons Books for Young Readers	2021	Hardcover	1.25002102554 pounds	8.25 inches	0.625 inches	5.5 inches	\N	English	PZ7.A737 D	0593109155	813.6	21st Century > American fiction > English (North America) > Literature
79	Dead Voices	Arden	Katherine	http://katherinearden.com/	G.P. Putnam's Sons Books for Young Readers	2019	Hardcover	0.81 pounds	5.75 inches	8.5 inches	0.92 inches	256	English	PZ7.A737	0525515054	813.6	21st Century > American fiction > English (North America) > Literature
183	Jane Eyre	Bronte	Charlotte	\N	Signet Classics	1997	Paperback	0.35 pounds	6.8 inches	1.1 inches	4.2 inches	480	English	PR4167	0451526554	823.8	English fiction > English {except North American} > Literature > Victorian period 1837-1900
80	Empty Smiles	Arden	Katherine	http://katherinearden.com/	G.P. Putnam's Sons Books for Young Readers	2022	Hardcover	0.86 pounds	8.25 inches	0.7188 inches	5.5 inches	288	English	PZ7.A737	059310918X	813.6	21st Century > American fiction > English (North America) > Literature
81	Small Spaces	Arden	Katherine	http://katherinearden.com/	G.P. Putnam's Sons Books for Young Readers	2018	Hardcover	0.75 pounds	5.88 inches	8.63 inches	0.81 inches	224	English	PZ7.A737 S	9780525515029	813.6	21st Century > American fiction > English (North America) > Literature
82	The Bear and the Nightingale	Arden	Katherine	http://katherinearden.com/	Del Rey	2017	Hardcover	0.002645547144 pounds	9.55 inches	1.17 inches	6.64 inches	336	English	PS3601.R42 B43	1101885939	813.6	21st Century > American fiction > English (North America) > Literature
83	The Bear and the Nightingale	Arden	Katherine	http://katherinearden.com/	Del Rey	2017	Paperback	\N	5.5 inches	8.2 inches	0.8 inches	368	English	PS3601.R42 B43	1101885955	813.6	21st Century > American fiction > English (North America) > Literature
84	The Girl in the Tower	Arden	Katherine	http://katherinearden.com/	Del Rey	2017	Hardcover	1.3 pounds	9.56 inches	1.3 inches	6.34 inches	384	English	PS3601.R42 G57	1101885963	813.6	21st Century > American fiction > English (North America) > Literature
85	The Girl in the Tower	Arden	Katherine	http://katherinearden.com/	Del Rey	2017	Hardcover	\N	6.13 inches	9.25 inches	0.97 inches	384	English	PS3601.R42 G57	1101885963	813.6	21st Century > American fiction > English (North America) > Literature
86	The Winter of the Witch	Arden	Katherine	http://katherinearden.com/	Del Rey	2019	Hardcover	1.32 pounds	6.42 inches	9.55 inches	1.2 inches	384	English	PS3601.R42 W56	1101885998	813.6	21st Century > American fiction > English (North America) > Literature
87	Predictably Irrational, Revised and Expanded Edition: The Hidden Forces That Shape Our Decisions	Ariely	Dan	\N	Harper	2009	Hardcover	1.25 pounds	9.24 inches	1.35 inches	6.38 inches	400	English	BF448 .A75	0061854549	153.83	Cognition And Memory > Decision Making > Decision Making And Persuasion > Philosophy and Psychology > Psychology
88	Whittington	Armstrong	Alan	\N	Yearling	2006	Paperback	0.3 pounds	7.5 inches	0.6 inches	5.1 inches	208	\N	PZ10.A8625 W	0375828656	813.6	21st Century > American fiction > English (North America) > Literature
89	Programming Erlang: Software for a Concurrent World	Armstrong	Joe	\N	Pragmatic Bookshelf	2007	Paperback	1.74 pounds	7.5 inches	9 inches	0.99 inches	536	English	QA76.E75 A765	193435600X	5.133	Computer programming, programs, data, security > Computing and Information > General Programming Languages > Information > Languages > Programming
90	The Performance of Open Source Applications	Armstrong	Tavish	\N	lulu.com	2013	Paperback	0.95 pounds	9.68 inches	0.41 inches	7.44 inches	182	English	QA76.S46 P47	1304488780	\N	\N
91	The Landmark Arrian: The Campaigns of Alexander	Arrian	\N	\N	Anchor	2012	Paperback	2.1 pounds	9.19 inches	1.44 inches	7.32 inches	560	English	DF234 .A77313	9781400079674	938.07	Ancient World > Greece to 323 > Greece to 323 > History and Geography > Macedonian Supremacy (362-323 BC)
92	Landing Page Optimization: The Definitive Guide to Testing and Tuning for Conversions	Ash	Tim	\N	Sybex	2012	Paperback	1.4550509292 pounds	9.25 inches	1.09 inches	7.375 inches	480	English	TK5105.888 .A7836	9780470610121	6.7	Computing and Information > Information > Multimedia systems > Special Topics
93	Caves of Steel	Asimov	Isaac	\N	Grafton	1993	Paperback	0.24 pounds	\N	1.78 inches	1.11 inches	208	English	PS3551.S5	0586008357	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
94	Foundation	Asimov	Isaac	\N	Bantam Books	1991	Paperback	0.35 pounds	4.34 inches	6.88 inches	0.89 inches	320	English	PZ3.A8316 F PS3551	0553293354	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
95	I, Robot	Asimov	Isaac	\N	Spectra	1991	Paperback	0.34 pounds	0.83 inches	6.84 inches	4.14 inches	304	English	PS3551.S5 I13	0553294385	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
96	Magic: The Final Fantasy Collection	Asimov	Isaac	\N	Harper Voyager	1997	Paperback	0.37 pounds	\N	1.78 inches	1.11 inches	400	English	PS3551.S5 M27	0006482031	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
97	Naked Sun	Asimov	Isaac	\N	Grafton	1993	Paperback	0.24 pounds	\N	1.78 inches	1.11 inches	208	English	PZ3.A8316 N	0586010165	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
98	Prelude to Foundation	Asimov	Isaac	\N	Spectra	1991	Paperback	0.4 pounds	6.9 inches	1.5 inches	4.1 inches	528	English	PS3551.S5 P7	0553278398	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
100	Realm of Algebra	Asimov	Isaac	\N	Houghton Mifflin	1961	Paper Book	\N	22 cm	\N	\N	230	English	QA152.A75	\N	512	Algebra > Mathematics > Natural sciences and mathematics
101	The Caves of Steel	Asimov	Isaac	\N	Spectra	1991	Paperback	0.31 pounds	4.15 inches	6.88 inches	0.8 inches	288	English	PS3551.S5	0553293400	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
102	The Genetic Code	Asimov	Isaac	\N	New American Library	1962	Paperback	1.02 pounds	7.8 inches	1 inch	5.12 inches	\N	English	QH431.A72	\N	575.12	Heredity > Life Sciences, Biology > Natural sciences and mathematics > Physiological systems in plants
103	The Robots of Dawn	Asimov	Isaac	\N	Doubleday	1983	Hardcover	1.1 pounds	8.2 inches	1.4 inches	5.8 inches	419	English	PS3551.S5 R6	038518400X	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
104	The Stars, Like Dust	Asimov	Isaac	\N	Del Rey	1983	Paperback	0.15 pounds	6.7 inches	0.8 inches	4.2 inches	231	English	PS3551.S5 S73	0345311949	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
105	The Stars, Like Dust	Asimov	Isaac	\N	Del Rey	1983	Paperback	0.15 pounds	6.7 inches	0.8 inches	4.2 inches	231	English	PS3551.S5 S73	0345311949	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
106	Effective Programming: More Than Writing Code	Atwood	Jeff	\N	CreateSpace	2012	Paperback	1.77 pounds	11 inches	0.63 inches	8.5 inches	278	\N	QA73	147830054X	5.1	Computer programming, programs, data, security > Computing and Information > Information > Programming
107	Oryx and Crake	Atwood	Margaret	\N	Anchor	2004	Paperback	1.31 pounds	5.15 inches	7.94 inches	0.85 inches	376	English	PR9199.A8	9780385721677	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
108	The Handmaid's Tale	Atwood	Margaret	\N	Houghton Mifflin Harcourt	2017	Hardcover	\N	5.5 inches	8.25 inches	1.13 inches	320	English	PR9199.A8	1328879941	813.54	1945-1999 > 20th Century > American fiction > English (North America) > Literature
